filename,width,height,class,xmin,ymin,xmax,ymax
BikesHelmets0.png,400,267,With Helmet,29,105,82,160
BikesHelmets0.png,400,267,With Helmet,122,66,193,154
BikesHelmets0.png,400,267,With Helmet,201,43,246,98
BikesHelmets0.png,400,267,With Helmet,307,17,371,107
BikesHelmets1.png,400,300,With Helmet,161,0,252,82
BikesHelmets100.png,400,305,With Helmet,158,20,205,71
BikesHelmets100.png,400,305,With Helmet,106,11,154,64
BikesHelmets101.png,400,225,With Helmet,231,2,266,42
BikesHelmets102.png,389,400,With Helmet,239,23,293,83
BikesHelmets103.png,400,263,Without Helmet,149282,10520,177697,32350
BikesHelmets104.png,400,267,With Helmet,196,61,237,112
BikesHelmets104.png,400,267,With Helmet,101,43,152,102
BikesHelmets105.png,400,225,With Helmet,145,2,194,51
BikesHelmets106.png,400,261,With Helmet,114,34,184,108
BikesHelmets106.png,400,261,With Helmet,301,106,339,146
BikesHelmets106.png,400,261,With Helmet,233,150,260,176
BikesHelmets107.png,400,114,With Helmet,198,4,267,79
BikesHelmets108.png,400,267,With Helmet,151,30,202,76
BikesHelmets109.png,320,480,With Helmet,47,110,118,181
BikesHelmets110.png,600,397,Without Helmet,491,83,527,129
BikesHelmets110.png,600,397,Without Helmet,307,103,338,139
BikesHelmets111.png,400,267,Without Helmet,148,43,183,84
BikesHelmets112.png,400,228,Without Helmet,231,19,297,90
BikesHelmets112.png,400,228,Without Helmet,107,21,164,87
BikesHelmets113.png,400,282,With Helmet,152,6,196,51
BikesHelmets114.png,400,300,With Helmet,344,63,372,99
BikesHelmets114.png,400,300,With Helmet,277,66,298,90
BikesHelmets114.png,400,300,With Helmet,172,67,196,94
BikesHelmets114.png,400,300,With Helmet,92,54,120,87
BikesHelmets115.png,400,259,With Helmet,74,72,114,107
BikesHelmets115.png,400,259,With Helmet,188,85,212,114
BikesHelmets115.png,400,259,With Helmet,230,90,249,114
BikesHelmets115.png,400,259,With Helmet,280,96,292,110
BikesHelmets116.png,400,277,With Helmet,367,102,388,128
BikesHelmets116.png,400,277,Without Helmet,255,100,272,120
BikesHelmets117.png,246,347,With Helmet,90,51,130,94
BikesHelmets118.png,400,347,With Helmet,224,94,257,129
BikesHelmets119.png,600,402,Without Helmet,195,22,262,95
BikesHelmets120.png,586,331,With Helmet,248,1,308,64
BikesHelmets121.png,400,294,With Helmet,186,13,241,76
BikesHelmets122.png,400,295,With Helmet,146,45,186,86
BikesHelmets123.png,400,267,With Helmet,150,135,170,153
BikesHelmets124.png,400,300,With Helmet,61,61,89,96
BikesHelmets124.png,400,300,With Helmet,138,70,160,94
BikesHelmets124.png,400,300,With Helmet,345,65,371,97
BikesHelmets125.png,400,298,With Helmet,189,8,243,74
BikesHelmets126.png,600,400,With Helmet,369,137,414,189
BikesHelmets126.png,600,400,With Helmet,277,125,312,165
BikesHelmets126.png,600,400,With Helmet,73,140,114,188
BikesHelmets126.png,600,400,With Helmet,474,115,510,158
BikesHelmets126.png,600,400,With Helmet,184,143,240,202
BikesHelmets127.png,248,400,With Helmet,49,31,119,111
BikesHelmets128.png,400,269,Without Helmet,194,6,227,60
BikesHelmets128.png,400,269,Without Helmet,227,13,251,55
BikesHelmets129.png,400,267,With Helmet,163,37,187,68
BikesHelmets130.png,400,266,Without Helmet,186,24,247,77
BikesHelmets131.png,400,300,With Helmet,279,66,297,89
BikesHelmets131.png,400,300,With Helmet,343,67,372,99
BikesHelmets131.png,400,300,With Helmet,260,75,276,94
BikesHelmets131.png,400,300,With Helmet,174,70,192,93
BikesHelmets131.png,400,300,With Helmet,135,70,160,94
BikesHelmets131.png,400,300,With Helmet,92,56,119,87
BikesHelmets131.png,400,300,With Helmet,60,60,89,93
BikesHelmets132.png,400,267,With Helmet,348,92,387,139
BikesHelmets132.png,400,267,With Helmet,237,62,277,108
BikesHelmets132.png,400,267,With Helmet,169,77,199,121
BikesHelmets132.png,400,267,With Helmet,105,107,128,135
BikesHelmets132.png,400,267,With Helmet,51,135,73,160
BikesHelmets133.png,480,320,Without Helmet,175,103,216,141
BikesHelmets134.png,400,250,With Helmet,163,52,191,83
BikesHelmets134.png,400,250,With Helmet,21,45,52,83
BikesHelmets134.png,400,250,With Helmet,253,41,272,66
BikesHelmets134.png,400,250,With Helmet,211,41,231,63
BikesHelmets134.png,400,250,With Helmet,309,37,325,56
BikesHelmets135.png,261,400,With Helmet,97,7,167,92
BikesHelmets136.png,400,190,With Helmet,191,13,229,52
BikesHelmets137.png,400,255,Without Helmet,171,92,183,108
BikesHelmets137.png,400,255,Without Helmet,272,92,282,106
BikesHelmets137.png,400,255,Without Helmet,27,82,46,101
BikesHelmets137.png,400,255,Without Helmet,333,94,342,104
BikesHelmets137.png,400,255,Without Helmet,306,99,315,110
BikesHelmets137.png,400,255,Without Helmet,136,92,147,106
BikesHelmets137.png,400,255,Without Helmet,73,91,85,105
BikesHelmets138.png,400,277,With Helmet,288,32,331,77
BikesHelmets138.png,400,277,Without Helmet,69,47,108,92
BikesHelmets139.png,400,200,With Helmet,231,24,273,67
BikesHelmets140.png,400,267,Without Helmet,192641,2403,245507,42720
BikesHelmets140.png,400,267,Without Helmet,190,7,272,102
BikesHelmets141.png,400,200,With Helmet,274,59,306,90
BikesHelmets142.png,400,267,With Helmet,86,52,153,132
BikesHelmets143.png,400,223,Without Helmet,322,22,352,55
BikesHelmets143.png,400,223,Without Helmet,97,18,131,56
BikesHelmets144.png,521,370,Without Helmet,134,63,178,111
BikesHelmets145.png,400,189,With Helmet,141,38,169,67
BikesHelmets145.png,400,189,With Helmet,215,27,241,52
BikesHelmets145.png,400,189,With Helmet,264,26,285,50
BikesHelmets145.png,400,189,With Helmet,117,30,136,49
BikesHelmets146.png,600,450,With Helmet,452,88,555,207
BikesHelmets146.png,600,450,With Helmet,309,92,402,202
BikesHelmets146.png,600,450,With Helmet,180,111,247,187
BikesHelmets146.png,600,450,With Helmet,51,108,159,220
BikesHelmets147.png,563,376,With Helmet,212,70,328,191
BikesHelmets148.png,389,400,With Helmet,151,11,214,90
BikesHelmets148.png,389,400,With Helmet,295,83,343,136
BikesHelmets149.png,400,300,With Helmet,204,46,242,98
BikesHelmets149.png,400,300,With Helmet,117,68,137,91
BikesHelmets15.png,240,160,With Helmet,96,17,128,49
BikesHelmets15.png,240,160,With Helmet,128,10,165,46
BikesHelmets150.png,400,283,With Helmet,145,47,178,83
BikesHelmets150.png,400,283,Without Helmet,326,63,352,95
BikesHelmets150.png,400,283,With Helmet,232,68,260,97
BikesHelmets151.png,400,226,With Helmet,139,10,185,67
BikesHelmets151.png,400,226,With Helmet,111,29,147,75
BikesHelmets152.png,519,345,With Helmet,342,131,385,178
BikesHelmets152.png,519,345,With Helmet,240,122,276,166
BikesHelmets152.png,519,345,With Helmet,414,123,451,154
BikesHelmets152.png,519,345,With Helmet,486,124,519,177
BikesHelmets152.png,519,345,With Helmet,94,109,117,131
BikesHelmets152.png,519,345,With Helmet,174,111,201,139
BikesHelmets153.png,300,400,With Helmet,90,54,177,145
BikesHelmets154.png,303,400,With Helmet,217,59,235,78
BikesHelmets154.png,303,400,Without Helmet,88,41,119,88
BikesHelmets154.png,303,400,With Helmet,122,48,151,95
BikesHelmets155.png,300,400,With Helmet,114,32,178,114
BikesHelmets155.png,300,400,With Helmet,30,122,91,185
BikesHelmets156.png,400,228,Without Helmet,166,6,208,50
BikesHelmets157.png,400,225,With Helmet,227,90,264,130
BikesHelmets158.png,400,266,With Helmet,145,6,186,56
BikesHelmets159.png,400,267,With Helmet,171,54,216,102
BikesHelmets16.png,400,267,With Helmet,260,2,327,81
BikesHelmets16.png,400,267,With Helmet,151,32,196,94
BikesHelmets16.png,400,267,With Helmet,46,38,96,100
BikesHelmets16.png,400,267,With Helmet,92,22,123,64
BikesHelmets160.png,400,267,Without Helmet,147,106,165,127
BikesHelmets160.png,400,267,Without Helmet,254,96,271,113
BikesHelmets161.png,400,312,With Helmet,129,41,198,108
BikesHelmets162.png,399,600,With Helmet,187,33,283,150
BikesHelmets163.png,400,267,With Helmet,190,44,216,75
BikesHelmets163.png,400,267,With Helmet,127,31,155,61
BikesHelmets163.png,400,267,With Helmet,55,20,82,55
BikesHelmets163.png,400,267,With Helmet,253,62,283,94
BikesHelmets163.png,400,267,With Helmet,309,28,344,62
BikesHelmets164.png,400,268,With Helmet,289,19,331,67
BikesHelmets164.png,400,268,With Helmet,241,32,270,76
BikesHelmets164.png,400,268,With Helmet,128,40,150,68
BikesHelmets164.png,400,268,With Helmet,201,33,229,67
BikesHelmets164.png,400,268,With Helmet,81,44,99,67
BikesHelmets164.png,400,268,With Helmet,44,47,64,72
BikesHelmets164.png,400,268,With Helmet,9,54,27,78
BikesHelmets165.png,400,225,With Helmet,159,3,239,83
BikesHelmets166.png,400,400,With Helmet,175,31,258,123
BikesHelmets167.png,586,331,With Helmet,246,0,306,62
BikesHelmets168.png,400,400,Without Helmet,109,4,199,119
BikesHelmets169.png,400,267,With Helmet,257,17,340,102
BikesHelmets169.png,400,267,With Helmet,213,38,262,100
BikesHelmets17.png,400,225,With Helmet,280,40,314,82
BikesHelmets17.png,400,225,With Helmet,188,52,209,79
BikesHelmets170.png,400,266,Without Helmet,122,6,167,50
BikesHelmets171.png,400,203,Without Helmet,203,30,223,56
BikesHelmets171.png,400,203,With Helmet,90,30,111,54
BikesHelmets171.png,400,203,With Helmet,309,27,329,49
BikesHelmets171.png,400,203,Without Helmet,345,24,368,48
BikesHelmets172.png,555,407,Without Helmet,109,14,165,69
BikesHelmets172.png,555,407,Without Helmet,423,5,475,65
BikesHelmets173.png,400,327,With Helmet,142,75,187,123
BikesHelmets173.png,400,327,With Helmet,285,54,336,104
BikesHelmets174.png,400,280,With Helmet,170,14,199,50
BikesHelmets174.png,400,280,With Helmet,249,9,290,52
BikesHelmets175.png,400,281,Without Helmet,194,68,223,96
BikesHelmets175.png,400,281,Without Helmet,346,40,372,61
BikesHelmets176.png,400,274,Without Helmet,114,38,147,78
BikesHelmets176.png,400,274,Without Helmet,254,67,273,85
BikesHelmets177.png,425,282,With Helmet,195,28,243,91
BikesHelmets178.png,580,370,With Helmet,68,50,243,180
BikesHelmets178.png,580,370,With Helmet,310,40,499,203
BikesHelmets179.png,594,439,With Helmet,356,165,415,233
BikesHelmets179.png,594,439,With Helmet,92,168,144,224
BikesHelmets18.png,400,225,With Helmet,140,5,191,48
BikesHelmets18.png,400,225,With Helmet,84,7,125,50
BikesHelmets180.png,400,234,Without Helmet,149,29,179,60
